Station,Latitude,Longitude,Depth,Temperature,Salinity,Nitrate,Iron
BD15,50.8335,199.83,725,3.134,34.300999,41.912193,
BD15,50.8335,199.83,726,,,,1.0
BD15,50.8335,199.83,791,,,,0.924
BD15,50.8335,199.83,791,3.058,34.334,42.0,
BD15,50.8335,199.83,990,2.755,34.398998,41.882927,
BD15,50.8335,199.83,990,,,,0.905
BD15,50.8335,199.83,1236,,,,0.897
BD15,50.8335,199.83,1236,2.456,34.465,41.814632,
BD15,50.8335,199.83,1482,,,,
BD15,50.8335,199.83,1482,2.229,34.515999,41.34634,
BD15,50.8335,199.83,1482,,,,0.882
BD15,50.8335,199.83,1728,2.055,34.556,40.936584,
BD15,50.8335,199.83,1973,,,,
BD15,50.8335,199.83,1973,,,,0.809756
BD15,50.8335,199.83,1973,1.898,34.589001,39.882927,
BD15,50.8335,199.83,2219,1.792,34.611,39.336586,
BD15,50.8335,199.83,2464,1.706,34.627998,38.351219,
BD15,50.8335,199.83,2464,,,,0.760976
BD15,50.8335,199.83,2708,1.631,34.641998,37.52195,
BD15,50.8335,199.83,2953,,,,0.790244
BD15,50.8335,199.83,2953,1.571,34.653,36.780487,
BD15,50.8335,199.83,2953,,,,
BD15,50.8335,199.83,3197,1.534,34.660999,36.429268,
BD15,50.8335,199.83,3440,,,,0.731707
BD15,50.8335,199.83,3441,1.506,34.667999,35.970734,
BD15,50.8335,199.83,3685,1.489,34.673,35.229267,
BD15,50.8335,199.83,3928,1.486,34.678001,35.326828,
BD15,50.8335,199.83,3928,,,,0.731707
BD15,50.8335,199.83,4171,1.497,34.68,34.975609,
BD15,50.8335,199.83,4415,1.512,34.681999,34.809757,
BD15,50.8335,199.83,4415,,,,0.771
BD15,50.8335,199.83,4657,1.53,34.682999,34.858536,
BD15,50.8335,199.83,4828,1.545,34.683998,34.721951,
BD15,50.8335,199.83,4828,1.545,34.683998,34.819511,
BD15,50.8335,199.83,4828,,,,0.731707
BD16,50.3948,204.004,0,11.2,,11.160976,
BD16,50.3948,204.004,9,11.312,32.379002,11.229268,
BD16,50.3948,204.004,10,,,,0.071049
BD16,50.3948,204.004,25,,,,0.070951
BD16,50.3948,204.004,25,11.24,32.376999,11.160976,
BD16,50.3948,204.004,37,,,,0.072524
BD16,50.3948,204.004,37,6.7,32.57,13.443902,
BD16,50.3948,204.004,49,,,,0.069146
BD16,50.3948,204.004,50,4.794,32.665001,15.756098,
BD16,50.3948,204.004,100,3.487,32.750999,20.409756,
BD16,50.3948,204.004,100,,,,0.108232
BD16,50.3948,204.004,148,3.407,33.612999,35.765854,0.456744
BD16,50.3948,204.004,198,3.641,33.799,40.058537,
BD16,50.3948,204.004,198,,,,0.592488
BD16,50.3948,204.004,297,3.715,33.964001,41.834148,
BD16,50.3948,204.004,396,3.662,34.074001,41.082928,
BD16,50.3948,204.004,396,,,,0.719939
BD16,50.3948,204.004,593,3.402,34.236,41.599998,0.766195
BD16,50.3948,204.004,659,3.291,34.27,41.863415,
BD16,50.3948,204.004,659,,,,0.608768
BD16,50.3948,204.004,791,3.062,34.327999,41.512196,0.787756
BD16,50.3948,204.004,992,2.755,34.402,41.453659,
BD16,50.3948,204.004,992,,,,0.781012
BD16,50.3948,204.004,1236,2.487,34.459,41.34634,0.735756
BD16,50.3948,204.004,1481,2.258,34.511002,41.356098,0.717134
BD16,50.3948,204.004,1728,2.08,34.551998,41.024391,
BD16,50.3948,204.004,1972,1.939,34.583,40.487804,0.646939
BD16,50.3948,204.004,2219,1.829,34.605999,39.639027,
BD16,50.3948,204.004,2464,1.73,34.625,38.47805,0.600524
BD16,50.3948,204.004,2709,1.643,34.640999,37.990246,
BD16,50.3948,204.004,2952,,,,0.540085
BD16,50.3948,204.004,2952,1.584,34.652,37.07317,
BD16,50.3948,204.004,3196,1.533,34.661999,36.536587,
BD16,50.3948,204.004,3441,1.5,34.668999,36.048782,0.562744
BD16,50.3948,204.004,3685,1.487,34.674,35.482925,
BD16,50.3948,204.004,3929,,,,0.559902
BD16,50.3948,204.004,3929,1.489,34.676998,35.434147,
BD16,50.3948,204.004,4171,1.499,34.68,35.141464,
BD16,50.3948,204.004,4414,,,,0.584573
BD16,50.3948,204.004,4415,1.519,34.681,35.121952,
BD16,50.3948,204.004,4658,1.541,34.681999,35.004879,
BD16,50.3948,204.004,4914,1.569,34.682999,34.965855,
BD16,50.3948,204.004,4914,,,,0.784683
BD01,35.9997,141.01801,0,27.8,,0.8,
BD01,35.9997,141.01801,10,25.321,33.911999,0.917073,
BD01,35.9997,141.01801,20,22.316,34.151001,0.848781,
BD01,35.9997,141.01801,49,17.851,34.636002,0.839024,
BD01,35.9997,141.01801,74,16.714,34.627998,0.897561,
BD01,35.9997,141.01801,100,14.97,34.529999,0.936585,
BD01,35.9997,141.01801,149,12.376,34.421001,0.956098,
BD01,35.9997,141.01801,198,10.314,34.256001,1.141463,
BD01,35.9997,141.01801,249,8.807,34.209,2.107317,
BD01,35.9997,141.01801,263,8.383,34.175999,4.078049,
