Station,Latitude,Longitude,Depth,Temperature,Salinity,Nitrate,Iron
PS71/161,-66.5002,359.99774,999.5,0.46,34.687,33.849998,
PS71/161,-66.5002,359.99774,1198.3,0.358,34.683998,,
PS71/161,-66.5002,359.99774,1199.2,0.358,34.683998,,
PS71/161,-66.5002,359.99774,1199.4,0.359,34.683998,,
PS71/161,-66.5002,359.99774,1199.9,0.358,34.683998,,
PS71/161,-66.5002,359.99774,1200.0,,,,
PS71/161,-66.5002,359.99774,1200.0,0.358,34.683998,,
PS71/161,-66.5002,359.99774,1201.3,0.363,34.685001,,
PS71/161,-66.5002,359.99774,1201.4,0.364,34.685001,,
PS71/161,-66.5002,359.99774,1250.1,0.332,34.681999,34.049999,0.409756
PS71/161,-66.5002,359.99774,1500.8,0.226,34.676998,33.939999,0.360976
PS71/161,-66.5002,359.99774,1749.2,0.13,34.673,33.93,0.380488
PS71/161,-66.5002,359.99774,1997.9,0.045,34.669998,33.82,0.341463
PS71/161,-66.5002,359.99774,2400.0,,,,
PS71/161,-66.5002,359.99774,2400.3,-0.064,34.666,,
PS71/161,-66.5002,359.99774,2400.5,-0.064,34.666,,
PS71/161,-66.5002,359.99774,2402.0,-0.064,34.666,,
PS71/161,-66.5002,359.99774,2402.0,-0.065,34.666,,
PS71/161,-66.5002,359.99774,2402.2,-0.064,34.666,,
PS71/161,-66.5002,359.99774,2402.8999,-0.064,34.666,,
PS71/161,-66.5002,359.99774,2408.8,-0.065,34.666,,
PS71/161,-66.5002,359.99774,2500.2,-0.085,34.664001,33.490002,0.321951
PS71/161,-66.5002,359.99774,3000.2,-0.172,34.66,33.389999,0.380488
PS71/161,-66.5002,359.99774,3351.0,-0.209,34.658001,,
PS71/161,-66.5002,359.99774,3352.3,-0.209,34.658001,,
PS71/161,-66.5002,359.99774,3400.0,,,,
PS71/161,-66.5002,359.99774,3495.1001,-0.226,34.657001,,
PS71/161,-66.5002,359.99774,4000.3,-0.252,34.653999,33.029999,0.390244
PS71/161,-66.5002,359.99774,4203.7998,-0.254,34.653,32.880001,0.360976
PS71/161,-66.5002,359.99774,4380.7998,-0.251,34.653,32.860001,0.390244
PS71/161,-66.5002,359.99774,4400.0,-0.252,34.653999,,
PS71/161,-66.5002,359.99774,4400.3999,-0.251,34.653999,,
PS71/161,-66.5002,359.99774,4400.5,-0.252,34.653999,,
PS71/161,-66.5002,359.99774,4400.8999,-0.251,34.653999,,
PS71/161,-66.5002,359.99774,4401.2002,-0.251,34.653999,,
PS71/161,-66.5002,359.99774,4401.8999,-0.252,34.653999,,
PS71/161,-66.5002,359.99774,4402.0,-0.252,34.653999,,
PS71/161,-66.5002,359.99774,4402.2002,-0.252,34.653999,,
PS71/163,-67.0007,0.0019,8.8,-0.751,33.971001,26.379999,0.126829
PS71/163,-67.0007,0.0019,22.6,-0.752,33.972,26.450001,0.156098
PS71/163,-67.0007,0.0019,44.0,-0.865,34.035999,28.65,0.046341
PS71/163,-67.0007,0.0019,44.8,-0.807,33.995998,27.25,0.078049
PS71/163,-67.0007,0.0019,74.1,0.554,34.626999,33.360001,0.087805
PS71/163,-67.0007,0.0019,100.9,0.724,34.651001,33.43,0.105854
PS71/163,-67.0007,0.0019,170.7,1.031,34.687,33.27,0.156098
PS71/163,-67.0007,0.0019,209.7,1.042,34.694,33.23,0.185366
PS71/163,-67.0007,0.0019,249.7,0.989,34.695999,33.279999,0.243902
PS71/163,-67.0007,0.0019,300.3,0.956,34.698002,33.080002,0.205854
PS71/163,-67.0007,0.0019,400.6,0.874,34.700001,33.240002,0.302439
PS71/163,-67.0007,0.0019,747.7,0.568,34.689999,33.830002,0.19561
